collision	linear_sign	A	B	C	rho	sigma	D	K_A	K_B	K_C	K_D	leg_A	leg_B	leg_C	leg_D	status	normalized_collision_constants	constant_legendres
AD	+	1	2	16	14	14	1	9	14	28	9	1	1	1	1	resolved_unit_square		
AD	-	1	2	16	14	17	30	0	15	1	0	0	-1	1	0	dead_nonsquare_unit		
AD	-	1	2	16	17	14	30	0	15	1	0	0	-1	1	0	dead_nonsquare_unit		
AD	+	1	2	16	17	17	1	9	14	28	9	1	1	1	1	resolved_unit_square		
AD	+	1	3	21	13	13	1	21	5	28	21	-1	1	1	-1	dead_nonsquare_unit		
AD	-	1	3	21	13	18	30	0	18	17	0	0	1	-1	0	dead_nonsquare_unit		
AD	-	1	3	21	18	13	30	0	18	17	0	0	1	-1	0	dead_nonsquare_unit		
AD	+	1	3	21	18	18	1	21	5	28	21	-1	1	1	-1	dead_nonsquare_unit		
AD	+	1	4	8	4	4	1	28	22	26	28	1	-1	-1	1	dead_nonsquare_unit		
AD	-	1	4	8	4	27	30	0	7	3	0	0	1	-1	0	dead_nonsquare_unit		
AD	-	1	4	8	27	4	30	0	7	3	0	0	1	-1	0	dead_nonsquare_unit		
AD	+	1	4	8	27	27	1	28	22	26	28	1	-1	-1	1	dead_nonsquare_unit		
AD	+	1	5	25	11	11	1	2	6	26	2	1	-1	-1	1	dead_nonsquare_unit		
AD	-	1	5	25	11	20	30	0	4	24	0	0	1	-1	0	dead_nonsquare_unit		
AD	-	1	5	25	20	11	30	0	4	24	0	0	1	-1	0	dead_nonsquare_unit		
AD	+	1	5	25	20	20	1	2	6	26	2	1	-1	-1	1	dead_nonsquare_unit		
AD	+	1	6	26	11	11	1	6	15	13	6	-1	-1	-1	-1	dead_nonsquare_unit		
AD	-	1	6	26	11	20	30	0	24	4	0	0	-1	1	0	dead_nonsquare_unit		
AD	-	1	6	26	20	11	30	0	24	4	0	0	-1	1	0	dead_nonsquare_unit		
AD	+	1	6	26	20	20	1	6	15	13	6	-1	-1	-1	-1	dead_nonsquare_unit		
AD	+	1	7	9	2	2	1	5	7	16	5	1	1	1	1	resolved_unit_square		
AD	-	1	7	9	2	29	30	0	13	19	0	0	-1	1	0	dead_nonsquare_unit		
AD	-	1	7	9	29	2	30	0	13	19	0	0	-1	1	0	dead_nonsquare_unit		
AD	+	1	7	9	29	29	1	5	7	16	5	1	1	1	1	resolved_unit_square		
AD	+	1	8	4	4	4	1	28	26	22	28	1	-1	-1	1	dead_nonsquare_unit		
AD	-	1	8	4	4	27	30	0	3	7	0	0	-1	1	0	dead_nonsquare_unit		
AD	-	1	8	4	27	4	30	0	3	7	0	0	-1	1	0	dead_nonsquare_unit		
AD	+	1	8	4	27	27	1	28	26	22	28	1	-1	-1	1	dead_nonsquare_unit		
AD	+	1	9	7	2	2	1	5	16	7	5	1	1	1	1	resolved_unit_square		
AD	-	1	9	7	2	29	30	0	19	13	0	0	1	-1	0	dead_nonsquare_unit		
AD	-	1	9	7	29	2	30	0	19	13	0	0	1	-1	0	dead_nonsquare_unit		
AD	+	1	9	7	29	29	1	5	16	7	5	1	1	1	1	resolved_unit_square		
AD	+	1	10	28	13	13	1	18	7	9	18	1	1	1	1	resolved_unit_square		
AD	-	1	10	28	13	18	30	0	17	18	0	0	-1	1	0	dead_nonsquare_unit		
AD	-	1	10	28	18	13	30	0	17	18	0	0	-1	1	0	dead_nonsquare_unit		
AD	+	1	10	28	18	18	1	18	7	9	18	1	1	1	1	resolved_unit_square		
AD	+	1	11	17	6	6	1	29	22	30	29	-1	-1	-1	-1	dead_nonsquare_unit		
AD	-	1	11	17	6	25	30	0	8	6	0	0	1	-1	0	dead_nonsquare_unit		
AD	-	1	11	17	25	6	30	0	8	6	0	0	1	-1	0	dead_nonsquare_unit		
AD	+	1	11	17	25	25	1	29	22	30	29	-1	-1	-1	-1	dead_nonsquare_unit		
AD	+	1	12	13	1	1	1	23	15	26	23	-1	-1	-1	-1	dead_nonsquare_unit		
AD	-	1	12	13	1	30	30	0	27	9	0	0	-1	1	0	dead_nonsquare_unit		
AD	-	1	12	13	30	1	30	0	27	9	0	0	-1	1	0	dead_nonsquare_unit		
AD	+	1	12	13	30	30	1	23	15	26	23	-1	-1	-1	-1	dead_nonsquare_unit		
AD	+	1	13	12	1	1	1	23	26	15	23	-1	-1	-1	-1	dead_nonsquare_unit		
AD	-	1	13	12	1	30	30	0	9	27	0	0	1	-1	0	dead_nonsquare_unit		
AD	-	1	13	12	30	1	30	0	9	27	0	0	1	-1	0	dead_nonsquare_unit		
AD	+	1	13	12	30	30	1	23	26	15	23	-1	-1	-1	-1	dead_nonsquare_unit		
AD	+	1	14	20	6	6	1	10	26	17	10	1	-1	-1	1	dead_nonsquare_unit		
AD	-	1	14	20	6	25	30	0	6	8	0	0	-1	1	0	dead_nonsquare_unit		
AD	-	1	14	20	25	6	30	0	6	8	0	0	-1	1	0	dead_nonsquare_unit		
AD	+	1	14	20	25	25	1	10	26	17	10	1	-1	-1	1	dead_nonsquare_unit		
AD	+	1	15	29	14	14	1	30	10	5	30	-1	1	1	-1	dead_nonsquare_unit		
AD	-	1	15	29	14	17	30	0	1	15	0	0	1	-1	0	dead_nonsquare_unit		
AD	-	1	15	29	17	14	30	0	1	15	0	0	1	-1	0	dead_nonsquare_unit		
AD	+	1	15	29	17	17	1	30	10	5	30	-1	1	1	-1	dead_nonsquare_unit		
AD	+	1	16	2	14	14	1	9	28	14	9	1	1	1	1	resolved_unit_square		
AD	-	1	16	2	14	17	30	0	1	15	0	0	1	-1	0	dead_nonsquare_unit		
AD	-	1	16	2	17	14	30	0	1	15	0	0	1	-1	0	dead_nonsquare_unit		
AD	+	1	16	2	17	17	1	9	28	14	9	1	1	1	1	resolved_unit_square		
AD	+	1	17	11	6	6	1	29	30	22	29	-1	-1	-1	-1	dead_nonsquare_unit		
AD	-	1	17	11	6	25	30	0	6	8	0	0	-1	1	0	dead_nonsquare_unit		
AD	-	1	17	11	25	6	30	0	6	8	0	0	-1	1	0	dead_nonsquare_unit		
AD	+	1	17	11	25	25	1	29	30	22	29	-1	-1	-1	-1	dead_nonsquare_unit		
AD	+	1	18	19	1	1	1	16	21	30	16	1	-1	-1	1	dead_nonsquare_unit		
AD	-	1	18	19	1	30	30	0	9	27	0	0	1	-1	0	dead_nonsquare_unit		
AD	-	1	18	19	30	1	30	0	9	27	0	0	1	-1	0	dead_nonsquare_unit		
AD	+	1	18	19	30	30	1	16	21	30	16	1	-1	-1	1	dead_nonsquare_unit		
AD	+	1	19	18	1	1	1	16	30	21	16	1	-1	-1	1	dead_nonsquare_unit		
AD	-	1	19	18	1	30	30	0	27	9	0	0	-1	1	0	dead_nonsquare_unit		
AD	-	1	19	18	30	1	30	0	27	9	0	0	-1	1	0	dead_nonsquare_unit		
AD	+	1	19	18	30	30	1	16	30	21	16	1	-1	-1	1	dead_nonsquare_unit		
AD	+	1	20	14	6	6	1	10	17	26	10	1	-1	-1	1	dead_nonsquare_unit		
AD	-	1	20	14	6	25	30	0	8	6	0	0	1	-1	0	dead_nonsquare_unit		
AD	-	1	20	14	25	6	30	0	8	6	0	0	1	-1	0	dead_nonsquare_unit		
AD	+	1	20	14	25	25	1	10	17	26	10	1	-1	-1	1	dead_nonsquare_unit		
AD	+	1	21	3	13	13	1	21	28	5	21	-1	1	1	-1	dead_nonsquare_unit		
AD	-	1	21	3	13	18	30	0	17	18	0	0	-1	1	0	dead_nonsquare_unit		
AD	-	1	21	3	18	13	30	0	17	18	0	0	-1	1	0	dead_nonsquare_unit		
AD	+	1	21	3	18	18	1	21	28	5	21	-1	1	1	-1	dead_nonsquare_unit		
AD	+	1	22	24	2	2	1	3	9	2	3	-1	1	1	-1	dead_nonsquare_unit		
AD	-	1	22	24	2	29	30	0	19	13	0	0	1	-1	0	dead_nonsquare_unit		
AD	-	1	22	24	29	2	30	0	19	13	0	0	1	-1	0	dead_nonsquare_unit		
AD	+	1	22	24	29	29	1	3	9	2	3	-1	1	1	-1	dead_nonsquare_unit		
AD	+	1	23	27	4	4	1	11	23	29	11	-1	-1	-1	-1	dead_nonsquare_unit		
AD	-	1	23	27	4	27	30	0	3	7	0	0	-1	1	0	dead_nonsquare_unit		
AD	-	1	23	27	27	4	30	0	3	7	0	0	-1	1	0	dead_nonsquare_unit		
AD	+	1	23	27	27	27	1	11	23	29	11	-1	-1	-1	-1	dead_nonsquare_unit		
AD	+	1	24	22	2	2	1	3	2	9	3	-1	1	1	-1	dead_nonsquare_unit		
AD	-	1	24	22	2	29	30	0	13	19	0	0	-1	1	0	dead_nonsquare_unit		
AD	-	1	24	22	29	2	30	0	13	19	0	0	-1	1	0	dead_nonsquare_unit		
AD	+	1	24	22	29	29	1	3	2	9	3	-1	1	1	-1	dead_nonsquare_unit		
AD	+	1	25	5	11	11	1	2	26	6	2	1	-1	-1	1	dead_nonsquare_unit		
AD	-	1	25	5	11	20	30	0	24	4	0	0	-1	1	0	dead_nonsquare_unit		
AD	-	1	25	5	20	11	30	0	24	4	0	0	-1	1	0	dead_nonsquare_unit		
AD	+	1	25	5	20	20	1	2	26	6	2	1	-1	-1	1	dead_nonsquare_unit		
AD	+	1	26	6	11	11	1	6	13	15	6	-1	-1	-1	-1	dead_nonsquare_unit		
AD	-	1	26	6	11	20	30	0	4	24	0	0	1	-1	0	dead_nonsquare_unit		
AD	-	1	26	6	20	11	30	0	4	24	0	0	1	-1	0	dead_nonsquare_unit		
AD	+	1	26	6	20	20	1	6	13	15	6	-1	-1	-1	-1	dead_nonsquare_unit		
AD	+	1	27	23	4	4	1	11	29	23	11	-1	-1	-1	-1	dead_nonsquare_unit		
AD	-	1	27	23	4	27	30	0	7	3	0	0	1	-1	0	dead_nonsquare_unit		
AD	-	1	27	23	27	4	30	0	7	3	0	0	1	-1	0	dead_nonsquare_unit		
AD	+	1	27	23	27	27	1	11	29	23	11	-1	-1	-1	-1	dead_nonsquare_unit		
AD	+	1	28	10	13	13	1	18	9	7	18	1	1	1	1	resolved_unit_square		
AD	-	1	28	10	13	18	30	0	18	17	0	0	1	-1	0	dead_nonsquare_unit		
AD	-	1	28	10	18	13	30	0	18	17	0	0	1	-1	0	dead_nonsquare_unit		
AD	+	1	28	10	18	18	1	18	9	7	18	1	1	1	1	resolved_unit_square		
AD	+	1	29	15	14	14	1	30	5	10	30	-1	1	1	-1	dead_nonsquare_unit		
AD	-	1	29	15	14	17	30	0	15	1	0	0	-1	1	0	dead_nonsquare_unit		
AD	-	1	29	15	17	14	30	0	15	1	0	0	-1	1	0	dead_nonsquare_unit		
AD	+	1	29	15	17	17	1	30	5	10	30	-1	1	1	-1	dead_nonsquare_unit		
BD	+	2	1	16	14	14	1	14	9	28	9	1	1	1	1	resolved_unit_square		
BD	-	2	1	16	14	17	30	15	0	1	0	-1	0	1	0	dead_nonsquare_unit		
BD	-	2	1	16	17	14	30	15	0	1	0	-1	0	1	0	dead_nonsquare_unit		
BD	+	2	1	16	17	17	1	14	9	28	9	1	1	1	1	resolved_unit_square		
BC	+	2	4	4	8	3	12	16	3	3	11	1	-1	-1	-1	dead_nonsquare_unit		
BC	+	2	4	4	8	28	19	24	14	14	23	-1	1	1	-1	dead_nonsquare_unit		
BC	+	2	4	4	23	3	19	24	14	14	23	-1	1	1	-1	dead_nonsquare_unit		
BC	+	2	4	4	23	28	12	16	3	3	11	1	-1	-1	-1	dead_nonsquare_unit		
CD	-	2	15	30	14	14	1	9	18	0	0	1	1	0	0	deep_zero_factor	10,10	1,1
CD	+	2	15	30	14	17	30	3	8	28	28	-1	1	1	1	dead_nonsquare_unit		
CD	+	2	15	30	17	14	30	3	8	28	28	-1	1	1	1	dead_nonsquare_unit		
CD	-	2	15	30	17	17	1	9	18	0	0	1	1	0	0	deep_zero_factor	10,10	1,1
CD	+	2	16	1	14	14	1	14	28	9	9	1	1	1	1	resolved_unit_square		
CD	-	2	16	1	14	17	30	15	1	0	0	-1	1	0	0	dead_nonsquare_unit		
CD	-	2	16	1	17	14	30	15	1	0	0	-1	1	0	0	dead_nonsquare_unit		
CD	+	2	16	1	17	17	1	14	28	9	9	1	1	1	1	resolved_unit_square		
BC	+	2	27	27	8	3	12	19	15	15	26	1	-1	-1	-1	dead_nonsquare_unit		
BC	+	2	27	27	8	28	19	13	1	1	30	-1	1	1	-1	dead_nonsquare_unit		
BC	+	2	27	27	23	3	19	13	1	1	30	-1	1	1	-1	dead_nonsquare_unit		
BC	+	2	27	27	23	28	12	19	15	15	26	1	-1	-1	-1	dead_nonsquare_unit		
BD	-	2	30	15	14	14	1	9	0	18	0	1	0	1	0	deep_zero_factor	10,10	1,1
BD	+	2	30	15	14	17	30	3	28	8	28	-1	1	1	1	dead_nonsquare_unit		
BD	+	2	30	15	17	14	30	3	28	8	28	-1	1	1	1	dead_nonsquare_unit		
BD	-	2	30	15	17	17	1	9	0	18	0	1	0	1	0	deep_zero_factor	10,10	1,1
BD	+	3	1	21	13	13	1	5	21	28	21	1	-1	1	-1	dead_nonsquare_unit		
BD	-	3	1	21	13	18	30	18	0	17	0	1	0	-1	0	dead_nonsquare_unit		
BD	-	3	1	21	18	13	30	18	0	17	0	1	0	-1	0	dead_nonsquare_unit		
BD	+	3	1	21	18	18	1	5	21	28	21	1	-1	1	-1	dead_nonsquare_unit		
CD	-	3	10	30	13	13	1	2	5	0	0	1	1	0	0	deep_zero_factor	25,25	1,1
CD	+	3	10	30	13	18	30	1	21	5	5	1	-1	1	1	dead_nonsquare_unit		
CD	+	3	10	30	18	13	30	1	21	5	5	1	-1	1	1	dead_nonsquare_unit		
CD	-	3	10	30	18	18	1	2	5	0	0	1	1	0	0	deep_zero_factor	25,25	1,1
CD	+	3	21	1	13	13	1	5	28	21	21	1	1	-1	-1	dead_nonsquare_unit		
CD	-	3	21	1	13	18	30	18	17	0	0	1	-1	0	0	dead_nonsquare_unit		
CD	-	3	21	1	18	13	30	18	17	0	0	1	-1	0	0	dead_nonsquare_unit		
CD	+	3	21	1	18	18	1	5	28	21	21	1	1	-1	-1	dead_nonsquare_unit		
BD	-	3	30	10	13	13	1	2	0	5	0	1	0	1	0	deep_zero_factor	25,25	1,1
BD	+	3	30	10	13	18	30	1	5	21	5	1	1	-1	1	dead_nonsquare_unit		
BD	+	3	30	10	18	13	30	1	5	21	5	1	1	-1	1	dead_nonsquare_unit		
BD	-	3	30	10	18	18	1	2	0	5	0	1	0	1	0	deep_zero_factor	25,25	1,1
BD	+	4	1	8	4	4	1	22	28	26	28	-1	1	-1	1	dead_nonsquare_unit		
BD	-	4	1	8	4	27	30	7	0	3	0	1	0	-1	0	dead_nonsquare_unit		
BD	-	4	1	8	27	4	30	7	0	3	0	1	0	-1	0	dead_nonsquare_unit		
BD	+	4	1	8	27	27	1	22	28	26	28	-1	1	-1	1	dead_nonsquare_unit		
AC	+	4	2	4	8	3	12	3	16	3	11	-1	1	-1	-1	dead_nonsquare_unit		
AC	+	4	2	4	8	28	19	14	24	14	23	1	-1	1	-1	dead_nonsquare_unit		
AC	+	4	2	4	23	3	19	14	24	14	23	1	-1	1	-1	dead_nonsquare_unit		
AC	+	4	2	4	23	28	12	3	16	3	11	-1	1	-1	-1	dead_nonsquare_unit		
AB	+	4	4	2	8	3	12	3	3	16	11	-1	-1	1	-1	dead_nonsquare_unit		
AB	+	4	4	2	8	28	19	14	14	24	23	1	1	-1	-1	dead_nonsquare_unit		
AB	+	4	4	2	23	3	19	14	14	24	23	1	1	-1	-1	dead_nonsquare_unit		
AB	+	4	4	2	23	28	12	3	3	16	11	-1	-1	1	-1	dead_nonsquare_unit		
CD	+	4	8	1	4	4	1	22	26	28	28	-1	-1	1	1	dead_nonsquare_unit		
CD	-	4	8	1	4	27	30	7	3	0	0	1	-1	0	0	dead_nonsquare_unit		
CD	-	4	8	1	27	4	30	7	3	0	0	1	-1	0	0	dead_nonsquare_unit		
CD	+	4	8	1	27	27	1	22	26	28	28	-1	-1	1	1	dead_nonsquare_unit		
CD	-	4	23	30	4	4	1	8	1	0	0	1	1	0	0	deep_zero_factor	4,4	1,1
CD	+	4	23	30	4	27	30	11	19	8	8	-1	1	1	1	dead_nonsquare_unit		
CD	+	4	23	30	27	4	30	11	19	8	8	-1	1	1	1	dead_nonsquare_unit		
CD	-	4	23	30	27	27	1	8	1	0	0	1	1	0	0	deep_zero_factor	4,4	1,1
AB	-	4	27	29	8	3	12	0	0	23	15	0	0	-1	-1	dead_nonsquare_unit		
AB	-	4	27	29	8	28	19	0	0	5	21	0	0	1	-1	dead_nonsquare_unit		
AB	-	4	27	29	23	3	19	0	0	5	21	0	0	1	-1	dead_nonsquare_unit		
AB	-	4	27	29	23	28	12	0	0	23	15	0	0	-1	-1	dead_nonsquare_unit		
AC	-	4	29	27	8	3	12	0	23	0	15	0	-1	0	-1	dead_nonsquare_unit		
AC	-	4	29	27	8	28	19	0	5	0	21	0	1	0	-1	dead_nonsquare_unit		
AC	-	4	29	27	23	3	19	0	5	0	21	0	1	0	-1	dead_nonsquare_unit		
AC	-	4	29	27	23	28	12	0	23	0	15	0	-1	0	-1	dead_nonsquare_unit		
BD	-	4	30	23	4	4	1	8	0	1	0	1	0	1	0	deep_zero_factor	4,4	1,1
BD	+	4	30	23	4	27	30	11	8	19	8	-1	1	1	1	dead_nonsquare_unit		
BD	+	4	30	23	27	4	30	11	8	19	8	-1	1	1	1	dead_nonsquare_unit		
BD	-	4	30	23	27	27	1	8	0	1	0	1	0	1	0	deep_zero_factor	4,4	1,1
BD	+	5	1	25	11	11	1	6	2	26	2	-1	1	-1	1	dead_nonsquare_unit		
BD	-	5	1	25	11	20	30	4	0	24	0	1	0	-1	0	dead_nonsquare_unit		
BD	-	5	1	25	20	11	30	4	0	24	0	1	0	-1	0	dead_nonsquare_unit		
BD	+	5	1	25	20	20	1	6	2	26	2	-1	1	-1	1	dead_nonsquare_unit		
CD	-	5	6	30	11	11	1	18	16	0	0	1	1	0	0	deep_zero_factor	7,7	1,1
CD	+	5	6	30	11	20	30	12	7	9	9	-1	1	1	1	dead_nonsquare_unit		
CD	+	5	6	30	20	11	30	12	7	9	9	-1	1	1	1	dead_nonsquare_unit		
CD	-	5	6	30	20	20	1	18	16	0	0	1	1	0	0	deep_zero_factor	7,7	1,1
CD	+	5	25	1	11	11	1	6	26	2	2	-1	-1	1	1	dead_nonsquare_unit		
CD	-	5	25	1	11	20	30	4	24	0	0	1	-1	0	0	dead_nonsquare_unit		
CD	-	5	25	1	20	11	30	4	24	0	0	1	-1	0	0	dead_nonsquare_unit		
CD	+	5	25	1	20	20	1	6	26	2	2	-1	-1	1	1	dead_nonsquare_unit		
BD	-	5	30	6	11	11	1	18	0	16	0	1	0	1	0	deep_zero_factor	7,7	1,1
BD	+	5	30	6	11	20	30	12	9	7	9	-1	1	1	1	dead_nonsquare_unit		
BD	+	5	30	6	20	11	30	12	9	7	9	-1	1	1	1	dead_nonsquare_unit		
BD	-	5	30	6	20	20	1	18	0	16	0	1	0	1	0	deep_zero_factor	7,7	1,1
BD	+	6	1	26	11	11	1	15	6	13	6	-1	-1	-1	-1	dead_nonsquare_unit		
BD	-	6	1	26	11	20	30	24	0	4	0	-1	0	1	0	dead_nonsquare_unit		
BD	-	6	1	26	20	11	30	24	0	4	0	-1	0	1	0	dead_nonsquare_unit		
BD	+	6	1	26	20	20	1	15	6	13	6	-1	-1	-1	-1	dead_nonsquare_unit		
CD	-	6	5	30	11	11	1	16	18	0	0	1	1	0	0	deep_zero_factor	7,7	1,1
CD	+	6	5	30	11	20	30	7	12	9	9	1	-1	1	1	dead_nonsquare_unit		
CD	+	6	5	30	20	11	30	7	12	9	9	1	-1	1	1	dead_nonsquare_unit		
CD	-	6	5	30	20	20	1	16	18	0	0	1	1	0	0	deep_zero_factor	7,7	1,1
CD	+	6	26	1	11	11	1	15	13	6	6	-1	-1	-1	-1	dead_nonsquare_unit		
CD	-	6	26	1	11	20	30	24	4	0	0	-1	1	0	0	dead_nonsquare_unit		
CD	-	6	26	1	20	11	30	24	4	0	0	-1	1	0	0	dead_nonsquare_unit		
CD	+	6	26	1	20	20	1	15	13	6	6	-1	-1	-1	-1	dead_nonsquare_unit		
BD	-	6	30	5	11	11	1	16	0	18	0	1	0	1	0	deep_zero_factor	7,7	1,1
BD	+	6	30	5	11	20	30	7	9	12	9	1	1	-1	1	dead_nonsquare_unit		
BD	+	6	30	5	20	11	30	7	9	12	9	1	1	-1	1	dead_nonsquare_unit		
BD	-	6	30	5	20	20	1	16	0	18	0	1	0	1	0	deep_zero_factor	7,7	1,1
BD	+	7	1	9	2	2	1	7	5	16	5	1	1	1	1	resolved_unit_square		
BD	-	7	1	9	2	29	30	13	0	19	0	-1	0	1	0	dead_nonsquare_unit		
BD	-	7	1	9	29	2	30	13	0	19	0	-1	0	1	0	dead_nonsquare_unit		
BD	+	7	1	9	29	29	1	7	5	16	5	1	1	1	1	resolved_unit_square		
CD	+	7	9	1	2	2	1	7	16	5	5	1	1	1	1	resolved_unit_square		
CD	-	7	9	1	2	29	30	13	19	0	0	-1	1	0	0	dead_nonsquare_unit		
CD	-	7	9	1	29	2	30	13	19	0	0	-1	1	0	0	dead_nonsquare_unit		
CD	+	7	9	1	29	29	1	7	16	5	5	1	1	1	1	resolved_unit_square		
CD	-	7	22	30	2	2	1	10	14	0	0	1	1	0	0	deep_zero_factor	8,8	1,1
CD	+	7	22	30	2	29	30	23	2	4	4	-1	1	1	1	dead_nonsquare_unit		
CD	+	7	22	30	29	2	30	23	2	4	4	-1	1	1	1	dead_nonsquare_unit		
CD	-	7	22	30	29	29	1	10	14	0	0	1	1	0	0	deep_zero_factor	8,8	1,1
BD	-	7	30	22	2	2	1	10	0	14	0	1	0	1	0	deep_zero_factor	8,8	1,1
BD	+	7	30	22	2	29	30	23	4	2	4	-1	1	1	1	dead_nonsquare_unit		
BD	+	7	30	22	29	2	30	23	4	2	4	-1	1	1	1	dead_nonsquare_unit		
BD	-	7	30	22	29	29	1	10	0	14	0	1	0	1	0	deep_zero_factor	8,8	1,1
BD	+	8	1	4	4	4	1	26	28	22	28	-1	1	-1	1	dead_nonsquare_unit		
BD	-	8	1	4	4	27	30	3	0	7	0	-1	0	1	0	dead_nonsquare_unit		
BD	-	8	1	4	27	4	30	3	0	7	0	-1	0	1	0	dead_nonsquare_unit		
BD	+	8	1	4	27	27	1	26	28	22	28	-1	1	-1	1	dead_nonsquare_unit		
CD	+	8	4	1	4	4	1	26	22	28	28	-1	-1	1	1	dead_nonsquare_unit		
CD	-	8	4	1	4	27	30	3	7	0	0	-1	1	0	0	dead_nonsquare_unit		
CD	-	8	4	1	27	4	30	3	7	0	0	-1	1	0	0	dead_nonsquare_unit		
CD	+	8	4	1	27	27	1	26	22	28	28	-1	-1	1	1	dead_nonsquare_unit		
AB	+	8	8	16	3	8	13	1	1	13	4	1	1	-1	1	dead_nonsquare_unit		
AB	+	8	8	16	3	23	18	16	16	27	17	1	1	-1	-1	dead_nonsquare_unit		
AB	+	8	8	16	28	8	18	16	16	27	17	1	1	-1	-1	dead_nonsquare_unit		
AB	+	8	8	16	28	23	13	1	1	13	4	1	1	-1	1	dead_nonsquare_unit		
AC	-	8	15	23	3	8	13	0	9	0	28	0	1	0	1	deep_zero_factor	9,29	1,-1
AC	-	8	15	23	3	23	18	0	25	0	29	0	1	0	-1	dead_nonsquare_unit		
AC	-	8	15	23	28	8	18	0	25	0	29	0	1	0	-1	dead_nonsquare_unit		
AC	-	8	15	23	28	23	13	0	9	0	28	0	1	0	1	deep_zero_factor	9,29	1,-1
AC	+	8	16	8	3	8	13	1	13	1	4	1	-1	1	1	dead_nonsquare_unit		
AC	+	8	16	8	3	23	18	16	27	16	17	1	-1	1	-1	dead_nonsquare_unit		
AC	+	8	16	8	28	8	18	16	27	16	17	1	-1	1	-1	dead_nonsquare_unit		
AC	+	8	16	8	28	23	13	1	13	1	4	1	-1	1	1	dead_nonsquare_unit		
AB	-	8	23	15	3	8	13	0	0	9	28	0	0	1	1	deep_zero_factor	9,29	1,-1
AB	-	8	23	15	3	23	18	0	0	25	29	0	0	1	-1	dead_nonsquare_unit		
AB	-	8	23	15	28	8	18	0	0	25	29	0	0	1	-1	dead_nonsquare_unit		
AB	-	8	23	15	28	23	13	0	0	9	28	0	0	1	1	deep_zero_factor	9,29	1,-1
CD	-	8	27	30	4	4	1	1	8	0	0	1	1	0	0	deep_zero_factor	27,27	-1,-1
CD	+	8	27	30	4	27	30	18	3	23	23	1	-1	-1	-1	dead_nonsquare_unit		
CD	+	8	27	30	27	4	30	18	3	23	23	1	-1	-1	-1	dead_nonsquare_unit		
CD	-	8	27	30	27	27	1	1	8	0	0	1	1	0	0	deep_zero_factor	27,27	-1,-1
BD	-	8	30	27	4	4	1	1	0	8	0	1	0	1	0	deep_zero_factor	27,27	-1,-1
BD	+	8	30	27	4	27	30	18	23	3	23	1	-1	-1	-1	dead_nonsquare_unit		
BD	+	8	30	27	27	4	30	18	23	3	23	1	-1	-1	-1	dead_nonsquare_unit		
